,index,neg,neu,pos,compound,review,sentiment_category
1407,1407,0.03,0.876,0.094,0.882,Not   This review is for LHRSYDLHR BA015 and BA016 Business class had a 121 configuration on 777 giving space privacy and easy aisle access Seat reclines into comfortable flat bed Good quality pillow and duvet Privacy with sliding door Good storage space around the seat and charging point Flights on time  no delays Gluten free meals were very poor in quality and presentation Warm processed meat between two bland slices of GF bread apparently is a business class breakfast On two sectors the main course no choice offered was bland fish which was served in a single small tray covered with foil  in business class Condensation had formed as the dish was reheated probably from chilled so the offering was sitting in a weak watery liquid One crew member appeared genuinely apologetic as they meekly served one meal Do BA also serve the same GF offering in economy economy plus and first on a long haul flight My advice if GF  take your own food or dine in the lounge if you are in the care of BA for 24 hours My travelling companion had very good regular meals or so they told me with a choice of main course on the same flights Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging Usual hospitality industry waffle about service but little of substance delivered,Extremely Positive
3024,3024,0.038,0.897,0.065,0.7992, I had broken my leg 2 days before our return flight from Lisbon to London I called to get some assistance from British Airways hoping for wheelchair assistance an easier seat to get to or possibly an upgrade so that I could stretch out my broken leg which was in a cast This airline failed on all fronts Quoted us a price of €6000 each I was traveling with my husband which we could not do Almost didnt let me on the plane trying to interpret my medical report They did not attempt to change our seats which were near the back The single concession they made was to allow me to board 1st but did not offer a wheelchair so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat as the aisles are not wide enough for crutches Might I add I am nearly 70 Had to exit same way No wheelchair waiting for me at Heathrow had to hop onto bus with crutches to change terminals and nearly took a tumble doing so Took so long to get a wheelchair that they had to hold my connecting flight on another airline for me and we were last to board That flight had allowed us to upgrade to business class for a reasonable price and took great care of me,Extremely Positive
3221,3221,0.086,0.689,0.225,0.9977,     The check in area for premium classes at Gatwick is very nice and there was no queue when I arrived so I was able to drop my bag very quickly Premium security at Gatwick is fine The flight was delayed due to NATS issues but the member of staff on arriving at the lounge let me know of this The lounge is nicevand it’ very comfortable There was an excellent range of food and drinks All the drinks you would expect Food wise there were sandwiches soup pasta salads fruit Spanish stew as well as turkey and ham pies with mashed potato roasted parsnips and carrots and gravy It was all really good and particularly nice to see so many options Boarding was pretty slow although the gate crew did a good job to keep it well organised and allow priority passengers to board first As has been well documented the onboard experience in terms of seat on ba Europe business is pretty poor but in line with other European carriers sadly That being said the seat is well padded and comfortable and the adjustable headrest is quite good The on board catering was of excellent quality I was lucky to get my preferred option of the roast turkey but several people sat near me weren’t as lucky I do understand that meal options may run out but when the meal options are roast turkey with all the trimmings vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  Or failing that allow an order in advance service where you then only stock the meals that people want to eat Whilst I fully support the desire to minimise waste both food and cost people really should really be able to get the ideal meal option Unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable they also lost a bit of perspective about just how serious a situation it actually was The cabin crew were  very nice friendly and professional if a little slow but not to the point of detracting from the positive experience I had The ground service at Gran Canaria was pretty poor priority bags clearly meant nothing 95 of bags coming out were not priority mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers Overall though it was a very nice flight and having paid for it using avios and £1 I cannot complain at all,Extremely Positive
1404,1404,0.05,0.864,0.086,0.7708, For the price paid bought during a sale it was a decent experience although the club class business class seats offer no more legroom than economy class using shorthaul fleet on a 4 hour flight Fast track through security was not honoured The lounge at Istanbul airport was overcrowded as it is also open to the public who can pay for usage causing a long queue for entry  which was badly organised Boarding was smooth cabin crew were friendly but their service was hitandmiss Eg Some people got a “welcome” and some didn’t Half of the cabin was automatically offered coffee after dinner but not the other half However drinks were replenished generously and regularly and the meal was good with a choice of three mains from the menu,Extremely Positive
3222,3222,0.0,0.761,0.239,0.9516, The flight took off a little late due to Heathrow congestion but still landed on schedule Boarding was smooth and the onboard service was efficient A small snack was served for free with a bottle of water additional items were available for purchase The cabin and toilets were very clean Overall an unremarkable flight but in a good way,Extremely Positive
1401,1401,0.073,0.764,0.163,0.9493, First time using BA business class but we were pleased with the service received No one was waiting at check inbag drop and through security in 2 minutes We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger bc cabin behind that had about 30 seats Again food and drinks were plenty full and good quality Service from the cabin crew was excellent and the cabin manager Lauren even made up a birthday card when she found out it was my wife’s special birthday Departed early and arrived at JFK early as well The only thing that I disliked was paying £117 each to select our seats and no free wifi,Extremely Positive
3224,3224,0.038,0.897,0.065,0.7992, I had broken my leg 2 days before our return flight from Lisbon to London I called to get some assistance from British Airways hoping for wheelchair assistance an easier seat to get to or possibly an upgrade so that I could stretch out my broken leg which was in a cast This airline failed on all fronts Quoted us a price of €6000 each I was traveling with my husband which we could not do Almost didnt let me on the plane trying to interpret my medical report They did not attempt to change our seats which were near the back The single concession they made was to allow me to board 1st but did not offer a wheelchair so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat as the aisles are not wide enough for crutches Might I add I am nearly 70 Had to exit same way No wheelchair waiting for me at Heathrow had to hop onto bus with crutches to change terminals and nearly took a tumble doing so Took so long to get a wheelchair that they had to hold my connecting flight on another airline for me and we were last to board That flight had allowed us to upgrade to business class for a reasonable price and took great care of me,Extremely Positive
1990,1990,0.015,0.851,0.134,0.9698,Mumbai to London Heathrow in Business Class on an ageing B777200 This aircraft featured the older Club World flatbed seats They are comfortable there is enough storage space around the cubicle and the monitor screen is among the larger ones Ive seen on airplanes BAs new Club Suites are said to be far superior competing with the best Bclass rivals The entire Business Class cabin had just 2 washrooms but it wasnt an issue on this flight since the premier section wasnt at full capacity There was WiFi on board fast enough to even send videos via messaging apps Service onboard was competent but the staff lacked warmth The food was alright and no more The biggest plus of this flight is that it gets out of Bombay at 110 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India The airport experience is far more pleasant at this time In summary British Airways provides a good but not spectacular Business Class product,Extremely Positive
1390,1390,0.015,0.851,0.134,0.9698,Mumbai to London Heathrow in Business Class on an ageing B777200 This aircraft featured the older Club World flatbed seats They are comfortable there is enough storage space around the cubicle and the monitor screen is among the larger ones Ive seen on airplanes BAs new Club Suites are said to be far superior competing with the best Bclass rivals The entire Business Class cabin had just 2 washrooms but it wasnt an issue on this flight since the premier section wasnt at full capacity There was WiFi on board fast enough to even send videos via messaging apps Service onboard was competent but the staff lacked warmth The food was alright and no more The biggest plus of this flight is that it gets out of Bombay at 110 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India The airport experience is far more pleasant at this time In summary British Airways provides a good but not spectacular Business Class product,Extremely Positive
3022,3022,0.0,0.761,0.239,0.9516, The flight took off a little late due to Heathrow congestion but still landed on schedule Boarding was smooth and the onboard service was efficient A small snack was served for free with a bottle of water additional items were available for purchase The cabin and toilets were very clean Overall an unremarkable flight but in a good way,Extremely Positive
2421,2421,0.086,0.689,0.225,0.9977,     The check in area for premium classes at Gatwick is very nice and there was no queue when I arrived so I was able to drop my bag very quickly Premium security at Gatwick is fine The flight was delayed due to NATS issues but the member of staff on arriving at the lounge let me know of this The lounge is nicevand it’ very comfortable There was an excellent range of food and drinks All the drinks you would expect Food wise there were sandwiches soup pasta salads fruit Spanish stew as well as turkey and ham pies with mashed potato roasted parsnips and carrots and gravy It was all really good and particularly nice to see so many options Boarding was pretty slow although the gate crew did a good job to keep it well organised and allow priority passengers to board first As has been well documented the onboard experience in terms of seat on ba Europe business is pretty poor but in line with other European carriers sadly That being said the seat is well padded and comfortable and the adjustable headrest is quite good The on board catering was of excellent quality I was lucky to get my preferred option of the roast turkey but several people sat near me weren’t as lucky I do understand that meal options may run out but when the meal options are roast turkey with all the trimmings vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  Or failing that allow an order in advance service where you then only stock the meals that people want to eat Whilst I fully support the desire to minimise waste both food and cost people really should really be able to get the ideal meal option Unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable they also lost a bit of perspective about just how serious a situation it actually was The cabin crew were  very nice friendly and professional if a little slow but not to the point of detracting from the positive experience I had The ground service at Gran Canaria was pretty poor priority bags clearly meant nothing 95 of bags coming out were not priority mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers Overall though it was a very nice flight and having paid for it using avios and £1 I cannot complain at all,Extremely Positive
890,890,0.015,0.851,0.134,0.9698,Mumbai to London Heathrow in Business Class on an ageing B777200 This aircraft featured the older Club World flatbed seats They are comfortable there is enough storage space around the cubicle and the monitor screen is among the larger ones Ive seen on airplanes BAs new Club Suites are said to be far superior competing with the best Bclass rivals The entire Business Class cabin had just 2 washrooms but it wasnt an issue on this flight since the premier section wasnt at full capacity There was WiFi on board fast enough to even send videos via messaging apps Service onboard was competent but the staff lacked warmth The food was alright and no more The biggest plus of this flight is that it gets out of Bombay at 110 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India The airport experience is far more pleasant at this time In summary British Airways provides a good but not spectacular Business Class product,Extremely Positive
2590,2590,0.015,0.851,0.134,0.9698,Mumbai to London Heathrow in Business Class on an ageing B777200 This aircraft featured the older Club World flatbed seats They are comfortable there is enough storage space around the cubicle and the monitor screen is among the larger ones Ive seen on airplanes BAs new Club Suites are said to be far superior competing with the best Bclass rivals The entire Business Class cabin had just 2 washrooms but it wasnt an issue on this flight since the premier section wasnt at full capacity There was WiFi on board fast enough to even send videos via messaging apps Service onboard was competent but the staff lacked warmth The food was alright and no more The biggest plus of this flight is that it gets out of Bombay at 110 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India The airport experience is far more pleasant at this time In summary British Airways provides a good but not spectacular Business Class product,Extremely Positive
3580,3580,0.0,0.887,0.113,0.859,Check in and security clearance very quick at LHR T5 My wife and I used the Galleries North lounge and at 600am it was easy to get a seat Good buffet breakfast options Flight boarded on time and flight departed on time I was seated in 4 A the Club Europe seats on the A320 seem to be getting smaller and legroom I am 6ft was very tight Cabin Crew service was fine I chose the full English breakfast it was ok but there was a lot of water in the bottom of the bowl Flight landed on time Overall an OK flight but Club Europe doesn’t feel very premium these days,Extremely Positive
2817,2817,0.047,0.787,0.166,0.9971,Much better experience this time around Flew CPT to LHR on a new A350 Checkin was efficient I used the Bidvest lounge at CPT as it is better than BAs lounge Boarding was speedy The new business class club suites are very good Slightly irritating to be directed to the wrong seat 1A instead of 1K which meant that after settling in the passenger in 1A showed up We arranged a seat switch Second time in a row it has happened Why cant BA staff memorise which side of the plane is which and get it right Captains announcement was short and on point Welcome drink was served at the correct temperature ie cold first time ever for me  previously BA has always served the welcome champagne warm IFE system was good  everything worked as it should Felt slightly cheap that business class passengers have to pay for wifi I did not bother Cocktail was good The nuts came on a cheap plastic tray which was naff  other airlines bring out something classier A female flight attendant came to take my order and I asked for Rooibas panacotta and the chicken breast She repeated back to me so you want a P and a C It was such a bizarre thing to say that I misheard I thought she said so you want beef and sea Confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying P for panacotta and C for chicken But how bizarre to repeat back an order to a passenger in code Why not just say so to confirm panacotta to start and chicken as your main dish like every other restaurant  airline does in the world The internal coding of food ordering is exactly that  internal She even looked irritated at me that I did not understand her jargon first time The food when it came was excellent Much much better than recent flights I read somewhere that BA changed caterer If so it shows The panacotta was superb as was the chicken  good restaurant quality The wine was OK to good but definitely not good to excellent I feel that while the food has got better in BA business class the wines have got worse Certainly compared to Air France which I have also flown recently The wine was brought out on time not afer I finished eating as it was lass time I flew BA business Cheese was also good and not teeth crackingly cold as last time I had a good nights sleep Plenty of snacks out if you wanted them and they did not run out Breakfast was excellent and the coffee was hot previously it has been lukewarm So all in all a vastly improved service offering The staff seemed rushed off their feet  it would not hurt to have an extra flight attendant to look after so many business class seats Overall summary vastly improved passenger proposition It would be 1010 but I deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes,Extremely Positive
301,301,0.073,0.764,0.163,0.9493, First time using BA business class but we were pleased with the service received No one was waiting at check inbag drop and through security in 2 minutes We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger bc cabin behind that had about 30 seats Again food and drinks were plenty full and good quality Service from the cabin crew was excellent and the cabin manager Lauren even made up a birthday card when she found out it was my wife’s special birthday Departed early and arrived at JFK early as well The only thing that I disliked was paying £117 each to select our seats and no free wifi,Extremely Positive
2819,2819,0.049,0.782,0.168,0.8462, BA A380s are showing their age hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours Cabin crew were good and helpful Dinner was ok but the breakfast was grim On board entertainment was not the latest and seat back USB points didnt work The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this if youre prepared to lay over then there are better airlines out there,Extremely Positive
304,304,0.05,0.864,0.086,0.7708, For the price paid bought during a sale it was a decent experience although the club class business class seats offer no more legroom than economy class using shorthaul fleet on a 4 hour flight Fast track through security was not honoured The lounge at Istanbul airport was overcrowded as it is also open to the public who can pay for usage causing a long queue for entry  which was badly organised Boarding was smooth cabin crew were friendly but their service was hitandmiss Eg Some people got a “welcome” and some didn’t Half of the cabin was automatically offered coffee after dinner but not the other half However drinks were replenished generously and regularly and the meal was good with a choice of three mains from the menu,Extremely Positive
307,307,0.03,0.876,0.094,0.882,Not   This review is for LHRSYDLHR BA015 and BA016 Business class had a 121 configuration on 777 giving space privacy and easy aisle access Seat reclines into comfortable flat bed Good quality pillow and duvet Privacy with sliding door Good storage space around the seat and charging point Flights on time  no delays Gluten free meals were very poor in quality and presentation Warm processed meat between two bland slices of GF bread apparently is a business class breakfast On two sectors the main course no choice offered was bland fish which was served in a single small tray covered with foil  in business class Condensation had formed as the dish was reheated probably from chilled so the offering was sitting in a weak watery liquid One crew member appeared genuinely apologetic as they meekly served one meal Do BA also serve the same GF offering in economy economy plus and first on a long haul flight My advice if GF  take your own food or dine in the lounge if you are in the care of BA for 24 hours My travelling companion had very good regular meals or so they told me with a choice of main course on the same flights Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging Usual hospitality industry waffle about service but little of substance delivered,Extremely Positive
308,308,0.069,0.803,0.128,0.9737,Absolutely pathetic business class product BA is not even remotely competitive with other International airlines in the business class market With old outdated 8 across seating  no I did not make a typing mistake  you either have to climb across someone or someone has to climb across you to gain aisle access The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats BA like most other Europeanbased airlines does not have a factual IntraEuropean business class product even though they promote  sell business class IntraEurope flights feature the same 33 seating throughout the aircraft  the only difference being the middle seat is left empty in business class  passengers get a meal  drinks but this does not justify the higher cost BAs TransAtlantic business class product is only slightly better because of the narrow 8 across seating The biggest surprise on both the LISLHR  LHRIAH flights was that BA has in fact substantially improved their food quality Shocking Unfortunately it is served in the WORST business class configurations of ANY International airline I have flown The entertainment  system  small screens  my laptop screen is twice the size  is like an airline offering 2 decades ago The flight crew was pleasant  perfunctory which is about the best one can expect from a BA crew BA will simply never match the quality of carriers like Singapore Emirates Qatar Etihad EVA ANA Japan Air New Zealand Qantas or many others BA can compete with USbased airlines like Delta American  United which are also not even in the same Universe in terms of a highquality business class product One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats even though they have paid thousands of dollars to fly business class Several hundred US dollars for TransAtlantic flights Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost Certainly another BA Management decision that was made without a functioning brain,Extremely Positive
309,309,0.064,0.845,0.091,0.8861,Not    Overall not bad Staff look tired and overworked trying their best Weird seats I was in 21G going and 21D going home The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work There is another button also very stiff to bring the “leg rest” out This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs but just obstructs your feet really Again I had to get help to activate the very stiff buttons At one point the lady next to me was pressing the buttons for me while I tried to recline sit up or put the “leg rest” back We gave up and called the flight attendant who also had trouble BA please give this some maintenance Food only one out of three menu choices available by the time it got to me in Premium Ec It was pasta and was not too bad A Christmas Turkey Dinner was offered but why not load more if it is so popular that it is not available 10 minutes into the meal service “Breakfast” was an unidentified soggy pastry thing in a cardboard tube It was disgusting same offered on return journey A cold pastry and fruit would be so much nicer The tea and coffee was hot at least Overall I would say Air Canada provides a much superior Premium Ec service than BA I won’t choose BA again,Extremely Positive
310,310,0.071,0.697,0.231,0.969,This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them As we were connecting we had little interaction with ground staff  staff in the lounge were friendly and helpful Cabin crew on the flight were great  very welcoming and friendly Our meals were delicious  no shortage of drinks being offered The seats were economy seats with the middle row blocked off and some recline We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm Bags checked in at JFK were delivered safely within 20 mins of arriving,Extremely Positive
313,313,0.061,0.813,0.126,0.9856, Check in was chaotic and badly organised Even though there were two desks one for premium and one economy there ended up being just one queue in front of the premium check in even though most passengers in it were economy That meant that those travelling in club or with higher status had no separate queue to join Whilst I was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers unnecessarily badly organised the staff in charge should be retrained Security at the airport was very quick and through to the lounge This is a generic airport lounge for all airlines and it is actually quite good overall Nice layout and seating options reasonable food and drink options and an outdoor terrace which is really nice Boarding was very well organised although quite slow to get everyone on board but the flight was probably only half full and we still departed early so I think they felt no rush and it actually made the boarding experience nicer and more relaxed On board the club Europe seats are fine by European business standards although as previously commented are really not very good overall the meal service was disappointing As is normal BA do not stock enough of the proper meal option  when the options are so limited and varied in quality BA really should stock enough for everyone to have the good meal Sadly they had run out by the time they got to me so I had the option of vegetarian sausage or a salad I wanted a hot meal so went for the sausage and I can honestly say it was one of the most disgusting onboard meals I’ve ever had in any cabin class rolling some mush similar consistency to mashed potato into a sausage shape does not make it a sausage BA you need to improve the meal options make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals  then people will not be left with such a substandard alternative when their first choice runs out Whilst I hadn’t planned on using it the on board WiFi was not functioning so was not available to use Overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient I used avios to pay for the flight so it was obviously good value for money for me,Extremely Positive
2820,2820,0.0,0.715,0.285,0.9768,     Credit to BA  Flew to Singapore recently and also back from Doha to London and both experiences were great Service was fantastic as was the quality of the food entertainment and was left feeling BA have got it together after a few previous below average experiences You definitely notice the difference with the staff on BA  Far more approachable and outgoing compared to the cold and corporate middle eastern airline crews Nice one BA for 2 great flights,Extremely Positive
317,317,0.047,0.787,0.166,0.9971,Much better experience this time around Flew CPT to LHR on a new A350 Checkin was efficient I used the Bidvest lounge at CPT as it is better than BAs lounge Boarding was speedy The new business class club suites are very good Slightly irritating to be directed to the wrong seat 1A instead of 1K which meant that after settling in the passenger in 1A showed up We arranged a seat switch Second time in a row it has happened Why cant BA staff memorise which side of the plane is which and get it right Captains announcement was short and on point Welcome drink was served at the correct temperature ie cold first time ever for me  previously BA has always served the welcome champagne warm IFE system was good  everything worked as it should Felt slightly cheap that business class passengers have to pay for wifi I did not bother Cocktail was good The nuts came on a cheap plastic tray which was naff  other airlines bring out something classier A female flight attendant came to take my order and I asked for Rooibas panacotta and the chicken breast She repeated back to me so you want a P and a C It was such a bizarre thing to say that I misheard I thought she said so you want beef and sea Confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying P for panacotta and C for chicken But how bizarre to repeat back an order to a passenger in code Why not just say so to confirm panacotta to start and chicken as your main dish like every other restaurant  airline does in the world The internal coding of food ordering is exactly that  internal She even looked irritated at me that I did not understand her jargon first time The food when it came was excellent Much much better than recent flights I read somewhere that BA changed caterer If so it shows The panacotta was superb as was the chicken  good restaurant quality The wine was OK to good but definitely not good to excellent I feel that while the food has got better in BA business class the wines have got worse Certainly compared to Air France which I have also flown recently The wine was brought out on time not afer I finished eating as it was lass time I flew BA business Cheese was also good and not teeth crackingly cold as last time I had a good nights sleep Plenty of snacks out if you wanted them and they did not run out Breakfast was excellent and the coffee was hot previously it has been lukewarm So all in all a vastly improved service offering The staff seemed rushed off their feet  it would not hurt to have an extra flight attendant to look after so many business class seats Overall summary vastly improved passenger proposition It would be 1010 but I deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes,Extremely Positive
319,319,0.049,0.782,0.168,0.8462, BA A380s are showing their age hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours Cabin crew were good and helpful Dinner was ok but the breakfast was grim On board entertainment was not the latest and seat back USB points didnt work The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this if youre prepared to lay over then there are better airlines out there,Extremely Positive
320,320,0.0,0.715,0.285,0.9768,     Credit to BA  Flew to Singapore recently and also back from Doha to London and both experiences were great Service was fantastic as was the quality of the food entertainment and was left feeling BA have got it together after a few previous below average experiences You definitely notice the difference with the staff on BA  Far more approachable and outgoing compared to the cold and corporate middle eastern airline crews Nice one BA for 2 great flights,Extremely Positive
321,321,0.086,0.689,0.225,0.9977,     The check in area for premium classes at Gatwick is very nice and there was no queue when I arrived so I was able to drop my bag very quickly Premium security at Gatwick is fine The flight was delayed due to NATS issues but the member of staff on arriving at the lounge let me know of this The lounge is nicevand it’ very comfortable There was an excellent range of food and drinks All the drinks you would expect Food wise there were sandwiches soup pasta salads fruit Spanish stew as well as turkey and ham pies with mashed potato roasted parsnips and carrots and gravy It was all really good and particularly nice to see so many options Boarding was pretty slow although the gate crew did a good job to keep it well organised and allow priority passengers to board first As has been well documented the onboard experience in terms of seat on ba Europe business is pretty poor but in line with other European carriers sadly That being said the seat is well padded and comfortable and the adjustable headrest is quite good The on board catering was of excellent quality I was lucky to get my preferred option of the roast turkey but several people sat near me weren’t as lucky I do understand that meal options may run out but when the meal options are roast turkey with all the trimmings vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  Or failing that allow an order in advance service where you then only stock the meals that people want to eat Whilst I fully support the desire to minimise waste both food and cost people really should really be able to get the ideal meal option Unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable they also lost a bit of perspective about just how serious a situation it actually was The cabin crew were  very nice friendly and professional if a little slow but not to the point of detracting from the positive experience I had The ground service at Gran Canaria was pretty poor priority bags clearly meant nothing 95 of bags coming out were not priority mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers Overall though it was a very nice flight and having paid for it using avios and £1 I cannot complain at all,Extremely Positive
322,322,0.0,0.761,0.239,0.9516, The flight took off a little late due to Heathrow congestion but still landed on schedule Boarding was smooth and the onboard service was efficient A small snack was served for free with a bottle of water additional items were available for purchase The cabin and toilets were very clean Overall an unremarkable flight but in a good way,Extremely Positive
324,324,0.038,0.897,0.065,0.7992, I had broken my leg 2 days before our return flight from Lisbon to London I called to get some assistance from British Airways hoping for wheelchair assistance an easier seat to get to or possibly an upgrade so that I could stretch out my broken leg which was in a cast This airline failed on all fronts Quoted us a price of €6000 each I was traveling with my husband which we could not do Almost didnt let me on the plane trying to interpret my medical report They did not attempt to change our seats which were near the back The single concession they made was to allow me to board 1st but did not offer a wheelchair so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat as the aisles are not wide enough for crutches Might I add I am nearly 70 Had to exit same way No wheelchair waiting for me at Heathrow had to hop onto bus with crutches to change terminals and nearly took a tumble doing so Took so long to get a wheelchair that they had to hold my connecting flight on another airline for me and we were last to board That flight had allowed us to upgrade to business class for a reasonable price and took great care of me,Extremely Positive
3590,3590,0.015,0.851,0.134,0.9698,Mumbai to London Heathrow in Business Class on an ageing B777200 This aircraft featured the older Club World flatbed seats They are comfortable there is enough storage space around the cubicle and the monitor screen is among the larger ones Ive seen on airplanes BAs new Club Suites are said to be far superior competing with the best Bclass rivals The entire Business Class cabin had just 2 washrooms but it wasnt an issue on this flight since the premier section wasnt at full capacity There was WiFi on board fast enough to even send videos via messaging apps Service onboard was competent but the staff lacked warmth The food was alright and no more The biggest plus of this flight is that it gets out of Bombay at 110 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India The airport experience is far more pleasant at this time In summary British Airways provides a good but not spectacular Business Class product,Extremely Positive
329,329,0.034,0.645,0.321,0.9908, Quick bag drop at First Wing but too many passengers so had to use fast track security in main terminal Direct entry to Concorde room outside security south Ate excellent breakfast which was served promptly Concorde room is a nice place to wait for a flight there is some interesting memorabilia and an excellent bar Boarding from c gates was disorganised and slow On board cabin crew excellent Good choice of beverages and these were of high quality Food was good Seat comfortable No first bedding provided On time arrival into Miami Baggage took 1 hour to arrive,Extremely Positive
2821,2821,0.086,0.689,0.225,0.9977,     The check in area for premium classes at Gatwick is very nice and there was no queue when I arrived so I was able to drop my bag very quickly Premium security at Gatwick is fine The flight was delayed due to NATS issues but the member of staff on arriving at the lounge let me know of this The lounge is nicevand it’ very comfortable There was an excellent range of food and drinks All the drinks you would expect Food wise there were sandwiches soup pasta salads fruit Spanish stew as well as turkey and ham pies with mashed potato roasted parsnips and carrots and gravy It was all really good and particularly nice to see so many options Boarding was pretty slow although the gate crew did a good job to keep it well organised and allow priority passengers to board first As has been well documented the onboard experience in terms of seat on ba Europe business is pretty poor but in line with other European carriers sadly That being said the seat is well padded and comfortable and the adjustable headrest is quite good The on board catering was of excellent quality I was lucky to get my preferred option of the roast turkey but several people sat near me weren’t as lucky I do understand that meal options may run out but when the meal options are roast turkey with all the trimmings vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  Or failing that allow an order in advance service where you then only stock the meals that people want to eat Whilst I fully support the desire to minimise waste both food and cost people really should really be able to get the ideal meal option Unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable they also lost a bit of perspective about just how serious a situation it actually was The cabin crew were  very nice friendly and professional if a little slow but not to the point of detracting from the positive experience I had The ground service at Gran Canaria was pretty poor priority bags clearly meant nothing 95 of bags coming out were not priority mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers Overall though it was a very nice flight and having paid for it using avios and £1 I cannot complain at all,Extremely Positive
334,334,0.013,0.927,0.06,0.7964,"Not    
We traveled to Lisbon for our dream vacation a cruise to Portugal and Spain Our friends did not EVER get their luggage It was a two week cruise Two weeks without a change of clothes or her CPAP machine Contacting customer service was a nightmare We never talked to a real person Very little effort was put into getting them their bags In one port we were on the ship and the bags were at the airport The airlines did not deliver the bags nor did they tell our friends that they needed to go get them The airline couldn’t be bothered to take the bags from the airport to the ship BA says it is their policy to get you your bags within 72 hours That is a joke It’s been over two weeks and they still don’t have them They are back home in the US and last they heard the bags were in Lisbon If your have a choice do not fly British Airways Customer Service is non existent",Extremely Positive
2584,2584,0.013,0.803,0.184,0.9524,Despite boarding being the usual free for all at LHR with groups 13 being called to board all at once Whilst those passengers who had agreed to check in a bag in at the gate getting to board before anyone else However the service on board was impeccable Superb crew friendly attentive interacting with passengers and generally appearing to be enjoying their job Like BA in the old days and at its best Food choice and quality seems to have improved too no beef cheeks thankfully and even the Club kitchen appears to have returned Old style Club seating but is at least better and feels less cramped on the 787s,Extremely Positive
2822,2822,0.0,0.761,0.239,0.9516, The flight took off a little late due to Heathrow congestion but still landed on schedule Boarding was smooth and the onboard service was efficient A small snack was served for free with a bottle of water additional items were available for purchase The cabin and toilets were very clean Overall an unremarkable flight but in a good way,Extremely Positive
343,343,0.042,0.544,0.413,0.9546,First time flying British Airways and I would not hesitate to fly economy with them again Flight attendants were pleasant and efficient Excellent special meal low sodium Comfortable space in economy One of my better flights,Extremely Positive
